Motivo Teletrabajo,Provincia Contrato (grupo),Finalizado,Provincia Contrato,Contratos,Anio Fecha Inicio Teletrabajo,Canton Contrato,Estado Teletrabajo,Fecha Consulta,Genero,Mes Fecha Inicio Teletrabajo,Modo Ejecucion,Ruc Empresa
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,9,Teletrabajo,1.20454E+12
Habitual,IMBABURA,Vigente,IMBABURA,1,,IBARRA,Activo,14/11/2022,Masculino,,Teletrabajo,1.89174E+12
Emergente,IMBABURA,Finalizado,IMBABURA,1,2020,IBARRA,Activo,14/11/2022,Femenino,3,Teletrabajo,1.09175E+12
Emergente,GUAYAS,Finalizado,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,3,Teletrabajo,9.92335E+11
Habitual,LOS RIOS,Finalizado,LOS RIOS,1,,VENTANAS,Activo,14/11/2022,Femenino,,Teletrabajo,9.93123E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,5,Teletrabajo,1.79228E+12
Emergente,GUAYAS,Vigente,GUAYAS,5,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,3,Teletrabajo,9.9271E+11
Emergente,SANTO DOMINGO DE LOS TS?CHILAS,Finalizado,SANTO DOMINGO DE LOS TS?CHILAS,4,2020,SANTO DOMINGO DE LOS TS?CHILAS,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79174E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79171E+12
Emergente,GUAYAS,Vigente,GUAYAS,2,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,5,Teletrabajo,9.91515E+11
Emergente,GUAYAS,Vigente,GUAYAS,2,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,9,Teletrabajo,1.79141E+12
Emergente,GUAYAS,Finalizado,GUAYAS,21,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79193E+12
Emergente,TUNGURAHUA,Vigente,TUNGURAHUA,8,2020,AMBATO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.89177E+12
Habitual,EL ORO,Vigente,EL ORO,1,,MACHALA,Activo,14/11/2022,Masculino,,Teletrabajo,9.92328E+11
Emergente,GUAYAS,Vigente,GUAYAS,13,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,3,Teletrabajo,9.92291E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2021,RUMIÐAHUI,Activo,14/11/2022,Femenino,1,Teletrabajo,1.70825E+12
Habitual,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Masculino,12,Teletrabajo,1.7929E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,10,Teletrabajo,9.91327E+11
Emergente,TUNGURAHUA,Vigente,TUNGURAHUA,1,2022,SAN PEDRO DE PELILEO,Activo,14/11/2022,Femenino,8,Teletrabajo,1.80176E+12
Emergente,GUAYAS,Finalizado,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,1.7909E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,6,2020,QUITO,Activo,14/11/2022,Femenino,4,Teletrabajo,1.79243E+12
